Name,Company Name,Telephone,Address,City,State,ZIP,Region,Order Dollar Amount,Order Date,Order Time,Sales Rep ID,,,Region ,#of orders,Percentage,,,,Name,State,Region,Sales Rep,Work Loading,State,Region,,State,Orders,rank ,,
Josue Wetzel,Contoso Corporation,+1 (369) 154-0716,8362 Walnut Boulevard,Waco,TX,76701,Southwest," 269,199 ",9/14/20,5:37 AM,8,,,,,,,,,,,,,,NC,Southeast,,IA,6,33,,
Tierra Pritchard,Wallaby Airlines,+1 (202) 274-3030,1435 Market Parkway West,Tacoma,WA,98402,West," 268,581 ",12/1/20,3:26 AM,3,,,,,,,,,,,,,,SC,Southeast,,MD,5,34,,
Stewart Ledford,Sheinhardt Wig Company,+1 (174) 502-3720,4339 Lincoln Crescent,Tacoma,WA,98402,West," 265,124 ",2/10/20,4:13 AM,7,,,,,,,,,,,,,,TN,Southeast,,NH,5,34,,
Tiana Turley,Buy and Large Corporation,+1 (643) 674-2366,6313 Eighth Freeway,Allentown,PA,18101,Northeast," 264,620 ",3/30/20,9:11 AM,9,,,,,,,,,,,,,,VA,Southeast,,SC,5,34,,
Clea Beane,ABC Telecom,+1 (880) 238-8360,2313 Walnut Park,Mcallen,TX,78501,Southwest," 263,257 ",11/20/20,10:33 AM,3,,,,,,,,,,,,,,WV,Southeast,,HI,5,34,,
Jabir Fuentes,Foo Bars,+1 (931) 999-3800,440 Sixth Street North,Anchorage,AK,99501,Southeast," 262,389 ",3/24/20,6:22 AM,3,,,,,,,,,,,,,,AZ,Southwest,,RI,4,38,,
Charles Embry,ABC Telecom,+1 (083) 131-4780,8355 Lake Boulevard NW,Surprise,AZ,85374,Southwest," 259,362 ",6/2/20,5:26 PM,3,,,,,,,,,,,,,,NM,Southwest,,AK,3,39,,
Ruby Holley,Southern Railway of Northern Ireland,+1 (185) 613-0334,8595 Lake Canal,Midland,TX,79701,Southwest," 255,058 ",12/17/20,10:09 PM,1,,,,,,,,,,,,,,OK,Southwest,,MS,4,40,,
Ralph Morales,Milliways,+1 (004) 228-2979,8055 Adams Place SW,Corpus Christi,TX,78401,Southwest," 254,536 ",3/24/20,9:33 PM,7,,,,,,,,,,,,,,TX,Southwest,,MT,3,41,,
Vernon Amaral,Big Belly Burger,+1 (697) 759-0514,9099 Park Road NE,Dayton,OH,45402,Midwest," 253,876 ",2/5/20,8:51 PM,2,,,,,,,,,,,,,,CA,West,,SD,2,42,,
Ronny Scully,Trans Global Airlines,+1 (447) 292-8625,8161 Walnut Cove,Spokane,WA,99201,West," 252,510 ",2/17/20,7:46 AM,3,,,,,,,,,,,,,,CO,West,,DC,2,43,,
Stormy Woodward,Biffco,+1 (741) 777-0424,5483 Cherry Drive,Jersey City,NJ,07302,Northeast," 252,404 ",6/21/20,4:29 PM,2,,,,,,,,,,,,,,HI,West,,NM,2,44,,
Harold Velasquez,SpringShield,+1 (109) 753-2641,3990 Lake Alley West,Jackson,MS,39201,Southeast," 252,118 ",3/13/20,12:04 AM,8,,,,,,,,,,,,,,ID,West,,ID,2,45,,
Berneice Schwarz,Federation World Airlines,+1 (444) 299-7749,1611 Main Row NE,Manchester,NH,03101,Northeast," 251,742 ",8/29/20,11:31 AM,9,,,,,,,,,,,,,,MT,West,,ND,1,46,,
Randolph Rayburn,Massive Dynamic,+1 (414) 670-5701,393 Adams Lane,Oxnard,CA,93030,West," 251,239 ",6/6/20,3:31 AM,1,,,,,,,,,,,,,,NV,West,,DE,0,47,,
Anika Lin,Federation World Airlines,+1 (457) 929-3124,904 Church Loop East,Palm Bay,FL,32905,Southeast," 250,242 ",6/23/20,3:00 PM,5,,,,,,,,,,,,,,OR,West,,ME,0,47,,
Ananya Spurgeon,QuantCo,+1 (391) 739-7442,999 Fifth Terrace North,Stamford,CT,06901,Northeast," 250,191 ",5/26/20,6:41 AM,1,,,,,,,,,,,,,,UT,West,,VT,0,47,,
Jayne Willoughby,Fake Brothers,+1 (417) 377-6119,8466 Water Boulevard North,Paterson,NJ,07501,Northeast," 249,673 ",1/16/20,8:55 AM,9,,,,,,,,,,,,,,WA,West,,WV,0,47,,
Annot Liu,Videlectrix,+1 (310) 426-8533,9172 Sixth Drive,Corona,CA,91719,West," 248,736 ",8/27/20,7:10 AM,9,,,,,,,,,,,,,,WY,West,,WY,0,47,,
Ling Lennon,Fabrikam Corporation,+1 (360) 644-9692,6691 Church Way East,Provo,UT,84601,West," 247,267 ",10/24/20,10:50 PM,9,,,,,,,,,,,,,,,,,,,,,
Jamila Mora,Trade Federation,+1 (936) 485-5422,1799 Lincoln Terrace,Milwaukee,WI,53202,Midwest," 247,262 ",3/2/20,4:31 PM,1,,,,,,,,,,,,,,,,,,,,,
Afia Hager,Extensive Enterprise,+1 (765) 669-7314,8648 Broad Freeway North,Fayetteville,NC,28304,Southeast," 246,924 ",9/21/20,2:49 AM,8,,,,,,,,,,,,,,,,,,,,,
Trace Jaynes,Ankh-Sto Associates,+1 (075) 759-7806,8417 Ninth Court SE,Warren,MI,48089,Midwest," 246,863 ",8/25/20,2:50 PM,2,,,,,,,,,,,,,,,,,,,,,
Annot Leonard,Ankh-Sto Associates,+1 (484) 329-0502,9604 Elm Way South,Wichita,KS,67202,Midwest," 246,850 ",9/12/20,7:58 AM,3,,,,,,,,,,,,,,,,,,,,,
Hadley Kopp,Sixty Second Avenue,+1 (001) 091-1424,3570 Broad Road South,Brownsville,TX,78520,Southwest," 244,819 ",4/7/20,12:09 AM,3,,,,,,,,,,,,,,,,,,,,,
Hadar Dick,Crudgington Brewery,+1 (294) 363-6239,4970 View Lane South,Pueblo,CO,81001,West," 243,719 ",4/15/20,3:54 PM,7,,,,,,,,,,,,,,,,,,,,,
Alyssa Randall,The Hanso Foundation,+1 (595) 184-1760,8632 Park Crescent SE,Topeka,KS,66603,Midwest," 242,424 ",6/28/20,5:33 AM,7,,,,,,,,,,,,,,,,,,,,,
Rollie Friedman,Shinra Electric Power Company,+1 (882) 204-9642,8391 Eighth Cove,Irvine,CA,92714,West," 241,825 ",12/22/20,2:19 PM,4,,,,,,,,,,,,,,,,,,,,,
Monique Bouchard,Slate Rock and Gravel Company,+1 (287) 185-7533,7989 Main Cove,Tampa,FL,33602,Southeast," 241,283 ",7/24/20,12:30 PM,3,,,,,,,,,,,,,,,,,,,,,
Milton Hyde,TriOptimum Corporation,+1 (271) 937-8158,5617 Lincoln Way SW,Pittsburgh,PA,15112,Northeast," 240,727 ",10/30/20,5:16 PM,3,,,,,,,,,,,,,,,,,,,,,
Victoria Newby,Sheinhardt Wig Company,+1 (659) 215-4675,6303 Broad Row,Richmond,VA,23219,Southeast," 240,356 ",11/13/20,3:42 AM,3,,,,,,,,,,,,,,,,,,,,,
Madelynn Rodrigues,Blammo Corp,+1 (230) 947-0712,77 Maple Place,Thornton,CO,80229,West," 239,306 ",2/22/19,6:08 PM,8,,,,,,,,,,,,,,,,,,,,,
Mason Bowers,Curious Goods,+1 (354) 404-7117,608 Ninth Cove,Murrieta,CA,92562,West," 238,898 ",1/17/19,1:10 PM,3,,,,,,,,,,,,,,,,,,,,,
Leah Flynn,Kumatsu Motors,+1 (528) 980-3056,5923 Seventh Court,Pittsburgh,PA,15112,Northeast," 237,351 ",2/18/20,10:10 AM,3,,,,,,,,,,,,,,,,,,,,,
Diella Solomon,Global Dynamics,+1 (210) 964-3296,54 Oak Court East,Los Angeles,CA,90001,West," 237,226 ",9/29/19,10:33 PM,1,,,,,,,,,,,,,,,,,,,,,
Elmo Fogle,Globo Gym American Corp,+1 (027) 643-9743,3510 View Crescent,Riverside,CA,92501,West," 236,980 ",11/20/19,5:06 PM,3,,,,,,,,,,,,,,,,,,,,,
Jamie Thayer,Quark Industries,+1 (205) 310-1229,4152 Maple Street West,North Las Vegas,NV,89030,West," 236,488 ",1/6/19,10:40 PM,1,,,,,,,,,,,,,,,,,,,,,
Leanne Yee,InGen Corporation,+1 (917) 658-1161,5118 Elm Lane South,Madison,WI,53703,Midwest," 236,232 ",7/30/19,2:29 AM,3,,,,,,,,,,,,,,,,,,,,,
Alva Tatum,Umbrella Corporation,+1 (072) 982-2795,7724 Chestnut Parkway,Visalia,CA,93277,West," 236,059 ",8/11/19,7:49 PM,1,,,,,,,,,,,,,,,,,,,,,
Andy Lacy,Demo Inc.,+1 (577) 878-3547,5983 Second Cove,Westminster,CO,80021,West," 234,745 ",1/14/20,11:30 PM,3,,,,,,,,,,,,,,,,,,,,,
Landen Oconnor,Smith and Co.,+1 (926) 259-3634,407 Eighth Alley East,Eugene,OR,97402,West," 234,689 ",10/21/19,9:12 AM,3,,,,,,,,,,,,,,,,,,,,,
Stacie Redmon,LexCorp,+1 (167) 873-7589,6542 Washington Canal NE,Surprise,AZ,85374,Southwest," 234,636 ",2/25/19,8:27 PM,3,,,,,,,,,,,,,,,,,,,,,
Marsha Chatman,Rossum Corporation,+1 (877) 034-4726,7478 Walnut Lane,Atlanta,GA,30303,Southeast," 234,311 ",6/27/19,2:19 AM,6,,,,,,,,,,,,,,,,,,,,,
Allene Parson,North Central Positronics,+1 (563) 556-6646,4117 Central Park NW,Spokane,WA,99201,West," 234,131 ",10/11/20,10:24 AM,8,,,,,,,,,,,,,,,,,,,,,
Elsie Sturgill,Globex Corporation,+1 (904) 663-3226,9548 Main Place,Chesapeake,VA,23320,Southeast," 233,789 ",7/21/19,12:04 AM,8,,,,,,,,,,,,,,,,,,,,,
Alissa Eagle,Omni Consumer Products,+1 (539) 961-4443,4491 Church Cove SW,Boston,MA,02108,Northeast," 233,677 ",9/22/19,10:12 PM,2,,,,,,,,,,,,,,,,,,,,,
Kirby Whitaker,Kumatsu Motors,+1 (216) 079-5942,7557 Washington Way,Tampa,FL,33602,Southeast," 233,621 ",4/29/20,12:53 AM,8,,,,,,,,,,,,,,,,,,,,,
Izefia Bolling,Soar Airlines,+1 (084) 541-5082,9584 Water Circle,Fresno,CA,93701,West," 233,555 ",6/7/20,5:46 AM,3,,,,,,,,,,,,,,,,,,,,,
Devi Snodgrass,Queen Industries,+1 (218) 310-4987,1915 Market Court,New Orleans,LA,70112,Southeast," 233,490 ",12/17/20,1:53 PM,1,,,,,,,,,,,,,,,,,,,,,
Ayame Ahern,MARS Industries,+1 (550) 512-1080,9652 Second Avenue,Newark,NJ,07102,Northeast," 233,480 ",6/22/20,3:42 PM,5,,,,,,,,,,,,,,,,,,,,,
Ledell Elder,Smith and Co.,+1 (220) 974-6813,8893 Hill Drive NE,Newport News,VA,23601,Southeast," 233,471 ",4/11/20,11:36 AM,2,,,,,,,,,,,,,,,,,,,,,
Auryon Hogg,Quark Industries,+1 (839) 358-9240,1533 Hill Parkway,Akron,OH,44301,Midwest," 233,198 ",7/11/20,7:52 AM,7,,,,,,,,,,,,,,,,,,,,,
Owen Amaya,Input Inc.,+1 (999) 528-5298,5891 Broad Loop SE,Knoxville,TN,37902,Southeast," 232,835 ",2/8/19,10:44 PM,3,,,,,,,,,,,,,,,,,,,,,
Faolan Lyon,North Western Railway,+1 (018) 503-8902,8874 Main Road East,Ann Arbor,MI,48103,Midwest," 232,295 ",5/22/19,10:41 PM,8,,,,,,,,,,,,,,,,,,,,,
Jacqueline Weed,Primatech,+1 (671) 755-9954,924 Broad Park East,Dallas,TX,75201,Southwest," 232,202 ",11/9/20,9:42 AM,3,,,,,,,,,,,,,,,,,,,,,
Destiny Waller,OmniCo,+1 (750) 681-9793,6685 Mill Circle,Palm Bay,FL,32905,Southeast," 231,831 ",8/16/20,11:38 AM,8,,,,,,,,,,,,,,,,,,,,,
Herrick Emery,United Fried Chicken,+1 (702) 105-6163,6484 Park Place NW,Sterling Heights,MI,48310,Midwest," 231,659 ",10/26/20,4:26 AM,7,,,,,,,,,,,,,,,,,,,,,
Berniece Silverman,Atlantic International Airlines,+1 (517) 018-4978,9489 Central Road,San Francisco,CA,94102,West," 230,373 ",8/13/20,5:32 AM,5,,,,,,,,,,,,,,,,,,,,,
Evelyn Eggleston,Big T Burgers and Fries,+1 (683) 380-0775,39 Mill Freeway West,Austin,TX,78701,Southwest," 230,254 ",1/27/20,3:37 PM,2,,,,,,,,,,,,,,,,,,,,,
Joana Sumpter,TranCon Airways,+1 (397) 663-8238,7425 Fourth Drive,Garden Grove,CA,92640,West," 230,004 ",1/1/19,8:06 PM,2,,,,,,,,,,,,,,,,,,,,,
Eshana Olivo,Queen Industries,+1 (065) 741-9101,5881 Second Road,Pomona,CA,91767,West," 229,287 ",5/9/19,4:20 PM,3,,,,,,,,,,,,,,,,,,,,,
Kaley Rutledge,ABC Corp,+1 (891) 706-4972,9507 View Alley,Nashville,TN,37201,Southeast," 228,709 ",1/19/19,9:43 AM,2,,,,,,,,,,,,,,,,,,,,,
Katia Fulton,NorthAm Robotics,+1 (747) 741-5212,104 Third Circle,Fairfield,CA,94533,West," 228,541 ",6/21/20,2:44 PM,2,,,,,,,,,,,,,,,,,,,,,
Clint Clem,TetraCorp,+1 (111) 496-7160,2650 Mill Terrace,Cambridge,MA,02138,Northeast," 228,435 ",2/8/19,12:56 AM,3,,,,,,,,,,,,,,,,,,,,,
Marilou Forman,Nordyne Defense Dynamics,+1 (423) 564-3734,616 Valley Crescent,Scottsdale,AZ,85250,Southwest," 228,427 ",4/5/20,9:36 AM,2,,,,,,,,,,,,,,,,,,,,,
Jayce Sargent,Mammoth Pictures,+1 (358) 396-9746,5975 Broad Drive,Amarillo,TX,79101,Southwest," 228,339 ",12/6/19,8:28 PM,5,,,,,,,,,,,,,,,,,,,,,
Hanna Corey,Globex Corporation,+1 (221) 128-3754,6676 Washington Place,Savannah,GA,31401,Southeast," 227,704 ",12/7/20,12:05 AM,5,,,,,,,,,,,,,,,,,,,,,
Johnny Kuntz,Bad Wolf Corporation,+1 (680) 333-8873,9832 Walnut Place,Tempe,AZ,85281,Southwest," 227,561 ",8/11/19,5:30 AM,2,,,,,,,,,,,,,,,,,,,,,
Jan Bentley,General Forge and Foundry,+1 (494) 634-7566,7398 Maple Parkway SW,Fort Lauderdale,FL,33301,Southeast," 227,248 ",3/1/19,6:56 AM,5,,,,,,,,,,,,,,,,,,,,,
Mathew Fallon,ABC Telecom,+1 (522) 731-1046,3691 Oak Court,Raleigh,NC,27601,Southeast," 226,618 ",11/9/19,5:07 PM,3,,,,,,,,,,,,,,,,,,,,,
Elin Boles,Input Inc.,+1 (145) 099-9839,8315 Second Avenue,Indianapolis,IN,46201,Midwest," 226,537 ",5/16/20,4:51 AM,9,,,,,,,,,,,,,,,,,,,,,
Mattie Cook,SpringShield,+1 (302) 174-7461,8111 Church Lane South,Honolulu,HI,96813,West," 226,509 ",1/3/20,3:07 AM,6,,,,,,,,,,,,,,,,,,,,,
Crystal Sexton,Zorin Industries,+1 (536) 824-4221,5996 Church Circle South,Brownsville,TX,78520,Southwest," 226,397 ",6/12/19,2:17 AM,3,,,,,,,,,,,,,,,,,,,,,
Jerry Burgess,The Queen Victoria,+1 (260) 867-4031,9027 Church Court North,San Francisco,CA,94102,West," 226,386 ",4/7/19,5:50 PM,2,,,,,,,,,,,,,,,,,,,,,
Chiku Sturgis,Trans Pacific Airlines,+1 (795) 931-7543,5259 Elm Way,Columbia,SC,29201,Southeast," 226,383 ",4/25/20,10:24 PM,7,,,,,,,,,,,,,,,,,,,,,
Britney Nickerson,Mainway Toys,+1 (047) 357-4453,6376 Second Parkway,Columbus,GA,31901,Southeast," 226,382 ",9/29/20,4:31 PM,3,,,,,,,,,,,,,,,,,,,,,
Enye Hennessey,The Queen Victoria,+1 (127) 072-6854,493 Maple Drive,Riverside,CA,92501,West," 226,333 ",6/7/20,2:48 PM,3,,,,,,,,,,,,,,,,,,,,,
Ilythia Toro,Shinra Electric Power Company,+1 (106) 031-3707,1865 Maple Street,Daly City,CA,94015,West," 226,236 ",5/12/19,12:25 AM,5,,,,,,,,,,,,,,,,,,,,,
Gerold Sheridan,Milliways,+1 (588) 949-4545,9300 Elm Terrace,Garden Grove,CA,92640,West," 226,108 ",12/18/20,4:51 AM,1,,,,,,,,,,,,,,,,,,,,,
Kaye Howard,Mainway Toys,+1 (646) 995-9688,1407 Jefferson Parkway,Fargo,ND,58103,Midwest," 225,941 ",1/25/19,12:11 PM,2,,,,,,,,,,,,,,,,,,,,,
Adosinda Nye,U.S. Robotics and Mechanical Men,+1 (358) 261-5372,3531 Lake Loop,Downey,CA,90240,West," 225,874 ",4/15/19,12:38 PM,2,,,,,,,,,,,,,,,,,,,,,
Deja Mcdonnell,Contoso Corporation,+1 (949) 726-6629,9096 First Alley,Lincoln,NE,68502,Midwest," 225,869 ",7/13/20,6:21 PM,4,,,,,,,,,,,,,,,,,,,,,
Bradyn Oneill,Videlectrix,+1 (700) 924-0941,6548 Mill Court SW,Mcallen,TX,78501,Southwest," 225,320 ",6/25/20,12:20 AM,4,,,,,,,,,,,,,,,,,,,,,
Rodney Fritz,Wallaby Airlines,+1 (048) 614-7027,9037 Park Terrace,San Bernardino,CA,92401,West," 225,276 ",1/12/20,7:37 AM,8,,,,,,,,,,,,,,,,,,,,,
Velma Hahn,Axis Chemical Co.,+1 (502) 614-4245,64 Chestnut Alley NE,Modesto,CA,95350,West," 224,745 ",1/15/20,8:01 AM,5,,,,,,,,,,,,,,,,,,,,,
Leander Flowers,Sample Inc.,+1 (588) 969-9562,4447 View Alley North,Oxnard,CA,93030,West," 224,571 ",5/26/20,4:59 PM,5,,,,,,,,,,,,,,,,,,,,,
Josefina Kelleher,Trans United Airways,+1 (526) 611-7906,3885 Church Avenue,Long Beach,CA,90802,West," 224,311 ",5/2/19,2:01 AM,1,,,,,,,,,,,,,,,,,,,,,
Maximilian Quigley,Columbia Airlines,+1 (550) 485-4616,6065 Maple Alley,Cincinnati,OH,45202,Midwest," 223,709 ",12/31/19,3:01 AM,8,,,,,,,,,,,,,,,,,,,,,
Marquis Mundy,Quark Industries,+1 (355) 848-4739,9291 Hill Drive NE,Pomona,CA,91767,West," 223,495 ",3/2/20,5:27 PM,4,,,,,,,,,,,,,,,,,,,,,
Gladys Hill,Globex Corporation,+1 (068) 674-0398,3196 Maple Alley,Milwaukee,WI,53202,Midwest," 223,428 ",3/1/19,8:40 PM,4,,,,,,,,,,,,,,,,,,,,,
Falda Parry,Trans Pacific Airlines,+1 (763) 041-8957,530 First Boulevard East,Joliet,IL,60431,Midwest," 223,282 ",10/6/20,10:35 AM,7,,,,,,,,,,,,,,,,,,,,,
Chantelle Mccants,Trans Global Airlines,+1 (075) 249-5244,7087 Washington Canal NE,Glendale,CA,91201,West," 223,264 ",7/10/19,12:55 AM,9,,,,,,,,,,,,,,,,,,,,,
Cathleen Adame,Big T Burgers and Fries,+1 (382) 574-3158,2438 Adams Place,San Jose,CA,95110,West," 222,844 ",3/8/19,4:40 PM,5,,,,,,,,,,,,,,,,,,,,,
Ava Albers,The Lanford Lunch Box,+1 (091) 131-2821,7415 Fifth Alley,Scottsdale,AZ,85250,Southwest," 222,502 ",9/14/19,11:37 PM,8,,,,,,,,,,,,,,,,,,,,,
Jayla Milliken,Edgars Industries,+1 (442) 082-9758,9269 Fifth Way SW,Tallahassee,FL,32301,Southeast," 222,259 ",9/25/19,12:14 PM,3,,,,,,,,,,,,,,,,,,,,,
Myrtis Candelaria,Blammo Corp,+1 (143) 299-1759,7260 View Lane,Miami,FL,33122,Southeast," 221,181 ",7/11/19,11:51 PM,1,,,,,,,,,,,,,,,,,,,,,
Eman Dobson,Bad Wolf Corporation,+1 (699) 123-5334,6125 Elm Canal,Mesa,AZ,85201,Southwest," 221,032 ",7/24/19,12:23 PM,9,,,,,,,,,,,,,,,,,,,,,
Jermaine Tuggle,ABC Telecom,+1 (688) 325-1157,6781 Main Parkway SW,Philadelphia,PA,19102,Northeast," 220,912 ",7/13/20,9:51 PM,2,,,,,,,,,,,,,,,,,,,,,
Deion Milne,Klimpys,+1 (825) 050-7836,8745 Water Park SW,Colorado Springs,CO,80903,West," 220,776 ",4/5/19,12:42 PM,1,,,,,,,,,,,,,,,,,,,,,
Gill Fair,Zevo Toys,+1 (151) 294-1330,8209 Central Canal SW,Baton Rouge,LA,70801,Southeast," 220,661 ",2/28/20,10:04 AM,3,,,,,,,,,,,,,,,,,,,,,
